"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000000001","YAL001C","S. cerevisiae","TFC3","Transcription Factor class C"
"SGD:S000000002","YAL002W","S. cerevisiae","VPS8","Vacuolar Protein Sorting"
"SGD:S000000003","YAL003W","S. cerevisiae","EFB1","Elongation Factor Beta"
"SGD:S000000004","YAL005C","S. cerevisiae","SSA1","Stress-Seventy subfamily A"
"SGD:S000000005","YAL007C","S. cerevisiae","ERP2","Emp24p/Erv25p Related Protein"
"SGD:S000000007","YAL009W","S. cerevisiae","SPO7","SPOrulation"
"SGD:S000000008","YAL010C","S. cerevisiae","MDM10","Mitochondrial Distribution and Morphology"
"SGD:S000000009","YAL011W","S. cerevisiae","SWC3","SWr Complex"
"SGD:S000000010","YAL012W","S. cerevisiae","CYS3","CYStathionine gamma-lyase"
"SGD:S000000011","YAL013W","S. cerevisiae","DEP1","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis"
"SGD:S000000012","YAL014C","S. cerevisiae","SYN8","SYNtaxin"
"SGD:S000000013","YAL015C","S. cerevisiae","NTG1","eNdonuclease Three-like Glycosylase"
"SGD:S000000014","YAL016W","S. cerevisiae","TPD3","tRNA Processing Deficient"
"SGD:S000000015","YAL017W","S. cerevisiae","PSK1","Pas domain-containing Serine/threonine protein Kinase"
"SGD:S000000016","YAL018C","S. cerevisiae","LDS1","Lipid Droplets in Sporulation"
"SGD:S000000017","YAL019W","S. cerevisiae","FUN30","Function Unknown Now"
"SGD:S000000019","YAL021C","S. cerevisiae","CCR4","Carbon Catabolite Repression"
"SGD:S000000020","YAL022C","S. cerevisiae","FUN26","Function Unknown Now"
"SGD:S000000021","YAL023C","S. cerevisiae","PMT2","Protein O-MannosylTransferase"
"SGD:S000000022","YAL024C","S. cerevisiae","LTE1","Low Temperature Essential"
"SGD:S000000023","YAL025C","S. cerevisiae","MAK16","MAintenance of Killer"
"SGD:S000000024","YAL026C","S. cerevisiae","DRS2","Deficiency of Ribosomal Subunits"
"SGD:S000000025","YAL027W","S. cerevisiae","SAW1","Single-strand Annealing Weakened"
"SGD:S000000026","YAL028W","S. cerevisiae","FRT2","Functionally Related to TCP1"
"SGD:S000000027","YAL029C","S. cerevisiae","MYO4","MYOsin"
"SGD:S000000028","YAL030W","S. cerevisiae","SNC1","Suppressor of the Null allele of CAP"
"SGD:S000000029","YAL031C","S. cerevisiae","GIP4","Glc7 Interacting Protein"
"SGD:S000000030","YAL032C","S. cerevisiae","PRP45","Pre-mRNA Processing"
"SGD:S000000031","YAL033W","S. cerevisiae","POP5","Processing Of Precursor RNAs"
"SGD:S000000032","YAL034W-A","S. cerevisiae","MTW1","Mis TWelve-like"
"SGD:S000000033","YAL035W","S. cerevisiae","FUN12","Function Unknown Now"
"SGD:S000000034","YAL036C","S. cerevisiae","RBG1","RiBosome interacting Gtpase"
"SGD:S000000036","YAL038W","S. cerevisiae","CDC19","Cell Division Cycle"
"SGD:S000000038","YAL040C","S. cerevisiae","CLN3","CycLiN"
"SGD:S000000039","YAL041W","S. cerevisiae","CDC24","Cell Division Cycle"
"SGD:S000000040","YAL042W","S. cerevisiae","ERV46","ER Vesicle"
"SGD:S000000041","YAL043C","S. cerevisiae","PTA1","Pre-Trna Accumulation"
"SGD:S000000043","YAL045C","S. cerevisiae","",""
"SGD:S000000045","YAL047C","S. cerevisiae","SPC72","Spindle Pole Component"
"SGD:S000000047","YAL049C","S. cerevisiae","AIM2","Altered Inheritance rate of Mitochondria"
"SGD:S000000048","YAL051W","S. cerevisiae","OAF1","Oleate-Activated transcription Factor"
"SGD:S000000049","YAL053W","S. cerevisiae","FLC2","FLavin Carrier"
"SGD:S000000050","YAL054C","S. cerevisiae","ACS1","Acetyl CoA Synthetase"
"SGD:S000000051","YAL055W","S. cerevisiae","PEX22","PEroXisome related"
"SGD:S000000052","YAL056W","S. cerevisiae","GPB2",""
"SGD:S000000054","YAL058W","S. cerevisiae","CNE1","CalNExin and calreticulin homolog"
"SGD:S000000055","YAL059W","S. cerevisiae","ECM1","ExtraCellular Mutant"
"SGD:S000000056","YAL060W","S. cerevisiae","BDH1","Butanediol DeHydrogenase"
"SGD:S000000057","YAL061W","S. cerevisiae","BDH2",""
"SGD:S000000058","YAL062W","S. cerevisiae","GDH3","Glutamate DeHydrogenase"
"SGD:S000000060","YAL064W","S. cerevisiae","",""
"SGD:S000000061","YAL066W","S. cerevisiae","",""
"SGD:S000000062","YAL067C","S. cerevisiae","SEO1","Suppressor of sulfoxyde EthiOnine resistance"
"SGD:S000000063","YAR002W","S. cerevisiae","NUP60","NUclear Pore"
"SGD:S000000064","YAR003W","S. cerevisiae","SWD1","Set1c, WD40 repeat protein"
"SGD:S000000065","YAR007C","S. cerevisiae","RFA1","Replication Factor A"
"SGD:S000000066","YAR008W","S. cerevisiae","SEN34","Splicing ENdonuclease"
"SGD:S000000067","YAR009C","S. cerevisiae","",""
"SGD:S000000069","YAR014C","S. cerevisiae","BUD14","BUD site selection"
"SGD:S000000071","YAR018C","S. cerevisiae","KIN3","protein KINase"
"SGD:S000000072","YAR019C","S. cerevisiae","CDC15","Cell Division Cycle"
"SGD:S000000073","YAR020C","S. cerevisiae","PAU7","seriPAUperin family"
"SGD:S000000074","YAR023C","S. cerevisiae","DFP1","DUP240 Family Protein"
"SGD:S000000075","YAR027W","S. cerevisiae","UIP3","Ulp1 Interacting Protein"
"SGD:S000000076","YAR028W","S. cerevisiae","KTD1","Killer Toxin Defense"
"SGD:S000000078","YAR031W","S. cerevisiae","PRM9","Pheromone-Regulated Membrane protein"
"SGD:S000000079","YAR033W","S. cerevisiae","MST28","Multicopy suppressor of Sec Twenty one"
"SGD:S000000080","YAR035W","S. cerevisiae","YAT1",""
"SGD:S000000081","YAR042W","S. cerevisiae","SWH1",""
"SGD:S000000082","YAR044W","S. cerevisiae","",""
"SGD:S000000083","YAR047C","S. cerevisiae","",""
"SGD:S000000086","YAR060C","S. cerevisiae","",""
"SGD:S000000089","YAR064W","S. cerevisiae","",""
"SGD:S000000092","YAR069C","S. cerevisiae","",""
"SGD:S000000094","YAR071W","S. cerevisiae","PHO11","PHOsphate metabolism"
"SGD:S000000095","YAR073W","S. cerevisiae","IMD1","IMP Dehydrogenase"
"SGD:S000000097","YBL001C","S. cerevisiae","ECM15","ExtraCellular Mutant"
"SGD:S000000098","YBL002W","S. cerevisiae","HTB2","Histone h Two B"
"SGD:S000000099","YBL003C","S. cerevisiae","HTA2","Histone h Two A"
"SGD:S000000100","YBL004W","S. cerevisiae","UTP20","U Three Protein"
"SGD:S000000101","YBL005W","S. cerevisiae","PDR3","Pleiotropic Drug Resistance"
"SGD:S000000102","YBL006C","S. cerevisiae","LDB7","Low Dye Binding"
"SGD:S000000103","YBL007C","S. cerevisiae","SLA1","Synthetic Lethal with ABP1"
"SGD:S000000104","YBL008W","S. cerevisiae","HIR1","HIstone Regulation"
"SGD:S000000105","YBL009W","S. cerevisiae","ALK2",""
"SGD:S000000106","YBL010C","S. cerevisiae","LAA2","Large Adaptin Accessory"
"SGD:S000000109","YBL013W","S. cerevisiae","FMT1","Formyl-Methionyl-tRNA Transformylase"
"SGD:S000000110","YBL014C","S. cerevisiae","RRN6","Regulation of RNA polymerase I"
"SGD:S000000111","YBL015W","S. cerevisiae","ACH1","Acetyl CoA Hydrolase"
"SGD:S000000112","YBL016W","S. cerevisiae","FUS3","cell FUSion"
"SGD:S000000113","YBL017C","S. cerevisiae","PEP1","carboxyPEPtidase Y-deficient"
"SGD:S000000114","YBL018C","S. cerevisiae","POP8","Processing Of Precursor RNAs"
"SGD:S000000115","YBL019W","S. cerevisiae","APN2","APurinic/apyrimidinic eNdonuclease"
"SGD:S000000116","YBL020W","S. cerevisiae","RFT1","Requiring Fifty-Three"
"SGD:S000000117","YBL021C","S. cerevisiae","HAP3","Heme Activator Protein"
"SGD:S000000118","YBL022C","S. cerevisiae","PIM1","Proteolysis In Mitochondria"
"SGD:S000000119","YBL023C","S. cerevisiae","MCM2","MiniChromosome Maintenance"
"SGD:S000000120","YBL024W","S. cerevisiae","NCL1","NuCLear protein"
"SGD:S000000121","YBL025W","S. cerevisiae","RRN10","Regulation of RNA polymerase I"
"SGD:S000000122","YBL026W","S. cerevisiae","LSM2","Like SM"
"SGD:S000000125","YBL029W","S. cerevisiae","",""
"SGD:S000000126","YBL030C","S. cerevisiae","PET9","PETite"
"SGD:S000000127","YBL031W","S. cerevisiae","SHE1","Sensitivity to High Expression"
"SGD:S000000128","YBL032W","S. cerevisiae","HEK2","HEterogeneous nuclear rnp K-like gene"
"SGD:S000000129","YBL033C","S. cerevisiae","RIB1","RIBoflavin biosynthesis"
"SGD:S000000130","YBL034C","S. cerevisiae","STU1","Suppressor of TUbulin"
"SGD:S000000131","YBL035C","S. cerevisiae","POL12","POLymerase"
"SGD:S000000132","YBL036C","S. cerevisiae","",""
"SGD:S000000133","YBL037W","S. cerevisiae","APL3","clathrin Adaptor Protein complex Large chain"
"SGD:S000000134","YBL038W","S. cerevisiae","MRPL16","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000000135","YBL039C","S. cerevisiae","URA7","URAcil requiring"
"SGD:S000000136","YBL040C","S. cerevisiae","ERD2","Endoplasmic reticulum Retention Defective"
"SGD:S000000137","YBL041W","S. cerevisiae","PRE7","PRoteinase yscE"
"SGD:S000000138","YBL042C","S. cerevisiae","FUI1","5-FlUorourIdine resistance"
"SGD:S000000139","YBL043W","S. cerevisiae","ECM13","ExtraCellular Mutant"
"SGD:S000000140","YBL044W","S. cerevisiae","",""
"SGD:S000000141","YBL045C","S. cerevisiae","COR1","CORe protein of QH2 cytochrome c reductase"
"SGD:S000000142","YBL046W","S. cerevisiae","PSY4","Platinum SensitivitY"
"SGD:S000000143","YBL047C","S. cerevisiae","EDE1","EH Domains and Endocytosis"
"SGD:S000000145","YBL049W","S. cerevisiae","MOH1",""
"SGD:S000000146","YBL050W","S. cerevisiae","SEC17","SECretory"
"SGD:S000000147","YBL051C","S. cerevisiae","PIN4","Psi+ INducibility"
"SGD:S000000148","YBL052C","S. cerevisiae","SAS3","Something About Silencing"
"SGD:S000000149","YBL053W","S. cerevisiae","",""
"SGD:S000000150","YBL054W","S. cerevisiae","TOD6","Twin Of Dot6p"
"SGD:S000000152","YBL056W","S. cerevisiae","PTC3","Phosphatase Two C"
