,protein1,protein2,weight
0,Q0045,YMR263W,0.12
1,Q0050,YPR140W,0.61
2,Q0055,YDL122W,0.12
3,Q0055,YDL182W,0.11
4,Q0055,YHR081W,0.2
5,Q0055,YMR237W,0.13
6,Q0070,YBR149W,0.2
7,Q0075,YLR418C,0.15
8,Q0085,YPR103W,0.15
9,Q0110,YGR037C,0.32
10,Q0140,YNL137C,0.19
11,Q0160,YLR330W,0.16
12,Q0250,YIL051C,0.39
13,YAL001C,YBL058W,0.12
14,YAL001C,YBR123C,0.99
15,YAL001C,YBR260C,0.15
16,YAL001C,YDL014W,0.1
17,YAL001C,YDL074C,0.64
18,YAL001C,YDL078C,0.29
19,YAL001C,YDL097C,0.49
20,YAL001C,YDL147W,0.56
21,YAL001C,YDL182W,0.11
22,YAL001C,YDR101C,0.1
23,YAL001C,YDR362C,0.99
24,YAL001C,YDR363W-A,0.11
25,YAL001C,YDR381W,0.3
26,YAL001C,YDR449C,0.32
27,YAL001C,YDR523C,0.34
28,YAL001C,YEL026W,0.17
29,YAL001C,YFR010W,0.1
30,YAL001C,YFR052W,0.79
31,YAL001C,YGL087C,0.12
32,YAL001C,YGR047C,0.99
33,YAL001C,YGR103W,0.1
34,YAL001C,YHR042W,0.41552036041070056
35,YAL001C,YIL075C,0.15
36,YAL001C,YLR069C,0.14
37,YAL001C,YML104C,0.15
38,YAL001C,YMR093W,0.41
39,YAL001C,YOR110W,0.99
40,YAL001C,YOR261C,0.11
41,YAL001C,YPL007C,0.15
42,YAL007C,YAR002C-A,0.73
43,YAL007C,YBL002W,0.25
44,YAL007C,YBL003C,0.58
45,YAL007C,YBL075C,0.25
46,YAL007C,YBR009C,0.72
47,YAL007C,YBR010W,0.25
48,YAL007C,YDR086C,0.32
49,YAL007C,YDR174W,0.72
50,YAL007C,YDR381W,0.51
51,YAL007C,YDR519W,0.26
52,YAL007C,YGL008C,0.83
53,YAL007C,YGL049C,0.24
54,YAL007C,YGL055W,0.8
55,YAL007C,YGL200C,0.77
56,YAL007C,YGR231C,0.32
57,YAL007C,YIL035C,0.25
58,YAL007C,YJL034W,0.83
59,YAL007C,YKR072C,0.23
60,YAL007C,YLR075W,0.53
61,YAL007C,YLR150W,0.33
62,YAL007C,YLR342W,0.33
63,YAL007C,YML012W,0.93
64,YAL007C,YMR072W,0.25
65,YAL007C,YMR214W,0.74
66,YAL007C,YNL055C,0.33
67,YAL007C,YNL121C,0.25
68,YAL007C,YOL012C,0.24
69,YAL007C,YOR058C,0.23
70,YAL007C,YPL128C,0.25
71,YAL007C,YPL146C,0.26
72,YAL008W,YJL033W,0.3
73,YAL010C,YDR054C,0.11
74,YAL012W,YGL113W,0.21
75,YAL012W,YGR010W,0.25
76,YAL012W,YKL210W,0.58
77,YAL012W,YMR099C,0.19
78,YAL012W,YOL013C,0.61
79,YAL012W,YPL259C,0.12
80,YAL013W,YBR095C,0.87
81,YAL013W,YMR263W,0.99
82,YAL013W,YOL004W,0.16
83,YAL013W,YPL139C,0.77
84,YAL013W,YPL181W,0.89
85,YAL015C,YLR418C,0.16
86,YAL016W,YBR023C,0.15
87,YAL016W,YBR079C,0.49
88,YAL016W,YBR185C,0.17
89,YAL016W,YDL080C,0.16
90,YAL016W,YDL134C,0.99
91,YAL016W,YDL156W,0.16
92,YAL016W,YDL188C,0.99
93,YAL016W,YDR477W,0.15
94,YAL016W,YER007CA,0.41552036041070056
95,YAL016W,YGL190C,0.99
96,YAL016W,YGR161C,0.55
97,YAL016W,YHR132WA,0.41552036041070056
98,YAL016W,YJL203W,0.15
99,YAL016W,YKL191W,0.12
100,YAL016W,YLR435W,0.19
101,YAL016W,YML109W,0.78
102,YAL016W,YMR273C,0.93
103,YAL016W,YNL209W,0.58
104,YAL016W,YOR014W,0.7
105,YAL016W,YOR162C,0.74
106,YAL016W,YPL152W,0.36
107,YAL017W,YBL003C,0.12
108,YAL017W,YBR079C,0.12
109,YAL017W,YCR020W-B,0.77
110,YAL017W,YDL100C,0.88
111,YAL017W,YIL071C,0.25
112,YAL017W,YLR150W,0.4
113,YAL017W,YMR021C,0.15
114,YAL017W,YMR237W,0.11
115,YAL017W,YNL247W,0.64
116,YAL017W,YOR196C,0.77
117,YAL017W,YPR034W,0.43
118,YAL018C,YGR245C,0.15
119,YAL019W,YAL026C,0.64
120,YAL019W,YBR079C,0.11
121,YAL019W,YDL036C,0.14
122,YAL019W,YDL097C,0.63
123,YAL019W,YDL147W,0.57
124,YAL019W,YDR363W-A,0.21
125,YAL019W,YDR365C,0.12
126,YAL019W,YDR381W,0.15
127,YAL019W,YDR448W,0.25
128,YAL019W,YFR052W,0.77
129,YAL019W,YGR078C,0.2
130,YAL019W,YGR090W,0.1
131,YAL019W,YIL035C,0.99
132,YAL019W,YJR119C,0.58
133,YAL019W,YKR071C,0.19
134,YAL019W,YLR027C,0.66
135,YAL019W,YLR418C,0.12
136,YAL019W,YLR429W,0.11
137,YAL019W,YLR435W,0.12
138,YAL019W,YML104C,0.15
139,YAL019W,YOR061W,0.12
140,YAL019W,YPL048W,0.12
141,YAL019W,YPL224C,0.15
142,YAL020C,YBL071W-A,0.99
143,YAL021C,YAR010C,0.16
144,YAL021C,YBL003C,0.12
145,YAL021C,YBR010W,0.12
146,YAL021C,YBR299W,0.15
147,YAL021C,YCR093W,0.99
148,YAL021C,YDL053C,0.14
149,YAL021C,YDL081C,0.16
150,YAL021C,YDR087C,0.11
151,YAL021C,YDR174W,0.12
152,YAL021C,YDR252W,0.73
153,YAL021C,YEL026W,0.16
154,YAL021C,YER013W,0.15
155,YAL021C,YER068W,0.15
156,YAL021C,YFL016C,0.11
157,YAL021C,YGR134W,0.3
158,YAL021C,YHR121W,0.11
159,YAL021C,YHR193C,0.14
160,YAL021C,YIL148W,0.24
161,YAL021C,YKL054C,0.16
162,YAL021C,YLR177W,0.16
163,YAL021C,YNL288W,0.99
164,YAL021C,YNR052C,0.6
165,YAL021C,YOR157C,0.11
166,YAL022C,YDL074C,0.16
167,YAL023C,YBR159W,0.32
168,YAL023C,YCR043C,0.53
