,protein1,protein2,weight
0,YMR056C,YBR217W,0.0001
1,YMR056C,YNR056C,0.0001
2,YMR056C,YJL124C,0.0001
3,YMR056C,YLL013C,0.14518733332071063
4,YMR056C,YER171W,0.0001
5,YBR085W,YBR217W,0.0001
6,YBR085W,YGR262C,0.0001
7,YBR085W,YGL237C,0.0001
8,YBR085W,YOR181W,0.0001
9,YBR085W,YHR002W,0.408318017210342
10,YBR085W,YER171W,0.0001
11,YBR085W,YDL059C,0.0001
12,YBR085W,YJL173C,0.0001
13,YBR085W,YML058W,0.0001
14,YBR085W,YER161C,0.0001
15,YBR085W,YHR135C,0.05489693498452919
16,YBR085W,YCR061W,0.0001
17,YNL331C,YDL243C,0.9999845399453924
18,YNL331C,YLR347C,0.0001
19,YNL331C,YPL070W,0.0001
20,YNL331C,YNL189W,0.0001
21,YNL331C,YML064C,0.0001
22,YCR107W,YJR022W,0.0001
23,YCR107W,YBR265W,0.166752233882099
24,YCR107W,YOR114W,0.0001
25,YFL056C,YNL201C,0.0001
26,YFL056C,YOL018C,0.0001
27,YNL141W,YGR142W,0.15084735828742563
28,YNL141W,YBR280C,0.13492987726166647
29,YNL141W,YKL086W,0.2132867510160929
30,YNL141W,YLR225C,0.213279214259157
31,YHR047C,YLR148W,0.17329661696888174
32,Q0080,YBL099W,0.603084408405251
33,Q0080,YJR121W,0.603084408405251
34,Q0080,YLR148W,0.06676311125629092
35,YBL074C,YDR283C,0.1291921335001212
36,YBL074C,YDL208W,0.12318275491070779
37,YBL074C,YHR165C,0.4455074995170657
38,YKL106W,YLR447C,0.0001
39,YLR027C,YLR314C,0.0001
40,YLR027C,YMR059W,0.0001
41,YLR027C,YNL244C,0.0001
42,YGL119W,YJR091C,0.0001
43,YBR236C,YOR151C,0.07381683463716276
44,YBR236C,YDL140C,0.07724726386253843
45,YBR236C,YML010W,0.05745097541589267
46,YKL112W,YIL035C,0.08328558887821072
47,YKL112W,YOR061W,0.08453654840975382
48,YKL112W,YGL019W,0.080940552923588
49,YKL112W,YOR039W,0.07679221354578597
50,YKL112W,YBR114W,0.30325459966757873
51,YMR072W,YOL004W,0.06813772495927298
52,YMR072W,YGL127C,0.10059740140087517
53,YJR108W,YHR114W,0.0001
54,YJR108W,YDL130W,0.0001
55,YJR108W,YER081W,0.0001
56,YOR239W,YKL093W,0.0001
57,YOR239W,YOR232W,0.0001
58,YOR239W,YLR447C,0.0001
59,YOR239W,YOR172W,0.08848301318347038
60,YCR088W,YFL039C,0.21329084122694167
61,YCR088W,YNL094W,0.30626606420658165
62,YCR088W,YNL020C,0.2210614389038757
63,YCR088W,YDL029W,0.3750812507031016
64,YCR088W,YJR065C,0.36092448126551246
65,YCR088W,YNL298W,0.03822310811896542
66,YCR088W,YPL204W,0.03411937743088989
67,YCR088W,YOR284W,0.25006875328091804
68,YCR088W,YDR342C,0.05902270317514636
69,YCR088W,YNL106C,0.2357908127005854
70,YCR088W,YMR109W,0.3780478815900294
71,YCR088W,YIL095W,0.21446419591569982
72,YCR088W,YDR388W,0.272859591554138
73,YCR088W,YDR129C,0.3750812507031016
74,YCR088W,YOR367W,0.3536320527338815
75,YCR088W,YBL007C,0.42648168245388335
76,YCR088W,YNL243W,0.45935847050144596
77,YCR088W,YDR523C,0.042355942064233376
78,YCR088W,YNL138W,0.38737865291261114
79,YCR088W,YCR084C,0.0001
80,YCR088W,YHR199C,0.0001
81,YCR088W,YIR003W,0.4167423621816707
82,YCR088W,YHR016C,0.3163098610865285
83,YNR033W,YPR154W,0.16911690375579388
84,YER045C,YGR247W,0.0001
85,YER045C,YGL181W,0.2739447135564434
86,YER045C,YGR123C,0.14518733332071063
87,YER045C,YMR308C,0.1055024086973953
88,YER045C,YOR059C,0.0001
89,YNR016C,YJR064W,0.17686602636694074
90,YNR016C,YER179W,0.054651918310827614
91,YNR016C,YPR110C,0.0001
92,YNR016C,YDL225W,0.1000955001524954
93,YNR016C,YDL047W,0.09815369318755318
94,YNR016C,YIL061C,0.0001
95,YNR016C,YDR398W,0.0001
96,YNR016C,YLR386W,0.07226489625310249
97,YNR016C,YMR106C,0.04361756848714218
98,YLR131C,YBR160W,0.1614681885808232
99,YLR131C,YGR218W,0.10215743788921021
100,YLR131C,YDR295C,0.4523420748622769
101,YLR131C,YPR086W,0.19373932645630554
102,YLR131C,YMR304W,0.21659468875930746
103,YLR131C,YNL157W,0.15820493054326423
104,YLR144C,YDR388W,0.07724726386253843
105,YLR144C,YFR024C,0.0001
106,YLR144C,YHR016C,0.2236918217410982
107,YBL015W,YJR035W,0.15127705159291624
108,YBL015W,YJR068W,0.0001
109,YBL015W,YPR110C,0.0001
110,YBL015W,YMR059W,0.1196145641823015
111,YDR511W,YGL181W,0.0001
112,YLR304C,YNL192W,0.0001
113,YLR304C,YDR480W,0.0001
114,YLR304C,YOR005C,0.0715247535638856
115,YLR304C,YMR049C,0.0001
116,YLR304C,YPL204W,0.07283636294128014
117,YLR304C,YGR040W,0.06491706795938473
118,YLR304C,YBR136W,0.041337566495321096
119,YLR304C,YJR035W,0.053549750854218384
120,YLR304C,YER171W,0.0917658277325339
121,YLR304C,YAR007C,0.29285685250131216
122,YLR304C,YOL094C,0.06691185451518146
123,YLR304C,YMR059W,0.08461049430697896
124,YLR304C,YOL006C,0.0001
125,YLR304C,YIL007C,0.26734073720931684
126,YLR304C,YLR262C,0.05841835308362415
127,YKL192C,YDL239C,0.0001
128,YKL192C,YPL163C,0.0001
129,YKL192C,YDR084C,0.0001
130,YAL054C,YHR041C,0.0715247535638856
131,YAL054C,YNL189W,0.14834178980635668
132,YAL054C,YLR049C,0.0001
133,YLR153C,YJR091C,0.07701881017599879
134,YLR153C,YBR055C,0.0878005961405304
135,YLR153C,YPR165W,0.0439509913933927
136,YLR153C,YIL061C,0.0837193605284158
137,YLR153C,YNL244C,0.0001
138,YFL039C,YMR092C,0.24627062709786254
139,YFL039C,YJL081C,0.3198862618404125
140,YFL039C,YBR200W,0.10351282504727634
141,YFL039C,YNL271C,0.15084979333064483
142,YFL039C,YLR319C,0.08713519574486998
143,YFL039C,YLL050C,0.28498775321398545
144,YFL039C,YJL005W,0.11019118675782555
145,YFL039C,YDL178W,0.0001
146,YFL039C,YGL240W,0.06437912608785594
147,YFL039C,YFL024C,0.15084712851983192
148,YFL039C,YML126C,0.0001
149,YFL039C,YOR244W,0.06669025612491934
150,YFL039C,YCL027W,0.0001
151,YFL039C,YDL226C,0.09314440688772187
152,YFL039C,YCL040W,0.05180641252363817
153,YFL039C,YPL242C,0.09544209426478813
154,YFL039C,YOR181W,0.11405510128559418
155,YFL039C,YHR023W,0.22236773877153923
156,YFL039C,YAL029C,0.19078418852957624
157,YFL039C,YDL002C,0.07547356425991597
158,YFL039C,YHR179W,0.08067753287435878
159,YFL039C,YOR122C,0.12318531354893128
160,YFL039C,YLR196W,0.10669275586119309
161,YFL039C,YMR061W,0.05922833901845857
162,YFL039C,YDR382W,0.07116302156527193
163,YFL039C,YER125W,0.0863409346261884
164,YFL039C,YDR388W,0.23271101721930465
165,YFL039C,YDR129C,0.21329084122694167
166,YFL039C,YOR367W,0.30159425703966386
167,YFL039C,YNL243W,0.17417039148973995
168,YFL039C,YNL138W,0.16523678013673831
169,YFL039C,YHL007C,0.08556746804075495
170,YFL039C,YBR118W,0.13493283396747796
171,YFL039C,YNL079C,0.27532796689456385
172,YFL039C,YIL138C,0.28498775321398545
173,YFL039C,YGR080W,0.16523678013673831
174,YFL039C,YEL013W,0.04273838143196583
175,YFL039C,YLR337C,0.24627062709786254
176,YDR448W,YDR216W,0.29355660381114934
177,YDR448W,YOR023C,0.374710436721959
178,YDR448W,YHR166C,0.06926777403434403
179,YDR448W,YDL165W,0.12735050389344038
180,YDR448W,YPL181W,0.3459388701717201
181,YDR448W,YBR278W,0.06632318684655622
182,YDR448W,YPL248C,0.26499274738622486
183,YDR448W,YLR291C,0.0001
184,YDR448W,YEL009C,0.15398978118000323
185,YDR448W,YGR252W,0.23276074992049978
186,YDR448W,YFL031W,0.07656760802420232
187,YDR448W,YPL254W,0.5804493332828425
188,YDR448W,YOL135C,0.2434179468137448
189,YDR448W,YDR176W,0.6529929999431978
190,YDR448W,YDR228C,0.12272177748044852
191,YDR448W,YKL012W,0.07656760802420232
192,YDR448W,YER148W,0.11480236785750826
193,YDR448W,YOL148C,0.43362865271386547
194,YDR448W,YDR392W,0.29027466664142126
195,YDR448W,YBR081C,0.3628183333017766
196,YDR448W,YHR041C,0.18403266622067277
197,YDR448W,YER022W,0.13254637369311242
198,YDR448W,YBR253W,0.18740521836097948
199,YDR448W,YDR308C,0.21773099998106593
200,YDR448W,YDR167W,0.31822625973360097
201,YDR448W,YGR274C,0.20286854002663646
202,YDR448W,YBR198C,0.33121593423278106
203,YDR448W,YGL112C,0.34420710357252476
204,YDR448W,YMR236W,0.38185151168032117
205,YDR448W,YHR099W,0.33121593423278106
206,YNL220W,YEL046C,0.0001
207,YLR359W,YOR098C,0.0001
208,YLR359W,YBR276C,0.0001
209,YLR359W,YOR361C,0.0001
210,YLR359W,YGL100W,0.0001
211,YLR028C,YLR373C,0.0001
212,YMR120C,YBR055C,0.0001
213,YMR120C,YOR212W,0.12865825217571186
214,YOR128C,YNL159C,0.0001
215,YOR128C,YPR111W,0.11614588227420247
216,YOR128C,YEL018W,0.0001
217,YOR128C,YBR021W,0.0001
218,YOR128C,YKR026C,0.08918173035771385
219,YOR128C,YGL154C,0.13617267240344733
220,YOR128C,YPL169C,0.07116302156527193
221,YOR128C,YCR012W,0.21090481739479058
222,YOR128C,YCR066W,0.07866294955864901
223,YOR128C,YCR067C,0.09631905986534955
224,YOR128C,YPR054W,0.16178110584717598
225,YOR128C,YGL127C,0.0001
226,YOR128C,YPR088C,0.08616120571068384
227,YOR128C,YMR236W,0.0001
228,YOR128C,YML064C,0.0001
229,YOR128C,YBR134W,0.0001
230,YOR128C,YDR271C,0.0001
231,YOR128C,YHR045W,0.0001
232,YOR128C,YML011C,0.0001
233,YOR128C,YMR323W,0.25205839327680424
234,YOR128C,YPR045C,0.0001
235,YOR128C,YPR084W,0.0001
236,YOR128C,YPR085C,0.0001
237,YGR204W,YNL135C,0.11442692248308393
238,YGR204W,YBR055C,0.07679221354578597
239,YGR204W,YIL018W,0.07679221354578597
240,YGR204W,YPR086W,0.06271929350514628
241,YMR300C,YAL012W,0.10215551821531069
242,YMR300C,YCR057C,0.08584418138126182
243,YMR300C,YMR235C,0.0981518813455427
244,YGL234W,YBR217W,0.11961699415475159
245,YGL234W,YBL026W,0.06309091058229067
246,YGL234W,YPR154W,0.11961432179302926
247,YGL234W,YBR049C,0.0001
248,YGL234W,YJR068W,0.06491706795938473
249,YGL234W,YOL094C,0.1337237090303629
250,YGL234W,YKL166C,0.189072731746872
251,YGL234W,YOR298W,0.0001
252,YGR061C,YBR055C,0.0001
253,YGR061C,YLR386W,0.0001
254,YDR408C,YCR063W,0.1260791966384021
255,YDR408C,YKL002W,0.08918173035771385
256,YDR408C,YOR174W,0.11794303557721401
257,YDR408C,YGL127C,0.10059740140087517
258,YOL086C,YPR180W,0.0981518813455427
259,YOL086C,YFR021W,0.049911271960888
260,YOL086C,YAL059W,0.11331994094535654
261,YOL086C,YOR244W,0.043412930444780645
262,YOL086C,YNL127W,0.0001
263,YOL086C,YBR207W,0.07701881017599879
264,YOL086C,YAL034C,0.0001
265,YOL086C,YOR304W,0.0001
266,YOL086C,YGL009C,0.0878005961405304
267,YOL086C,YOL135C,0.0001
268,YOL086C,YPL082C,0.0001
269,YOL086C,YAL029C,0.06211426060899522
270,YOL086C,YOR056C,0.21492295723626023
271,YOL086C,YBR114W,0.13876773631572337
272,YOL086C,YDR164C,0.08015954526617065
273,YOL086C,YDR170C,0.06736378240636892
274,YOL086C,YDL042C,0.09385726099823045
275,YOL086C,YML085C,0.12412852121799044
276,YOL086C,YBR058C,0.24027863579851194
277,YOL086C,YAL027W,0.0001
