,protein1,protein2,weight
0,YDR143C,YER068W,0.4472889134677608
1,YMR207C,YNR016C,0.8292104705808411
2,YIL135C,YMR139W,0.08989654831171413
3,YNL316C,YOL082W,0.10920167184938542
4,YHR211W,YNL255C,0.0001
5,YJL125C,YNL062C,0.7715560957571824
6,YDL014W,YKL125W,0.18907036965819368
7,YJL218W,YLR291C,0.1444261844417955
8,YLR448W,YNL096C,0.5547663231590865
9,YLR075W,YNL110C,0.20109480280175032
10,YHR135C,YNL199C,0.05489693498452919
11,YJL092W,YOR281C,0.0001
12,YGL173C,YKL139W,0.12534042375542784
13,YER125W,YHR135C,0.08876756640560521
14,YPL115C,YPL161C,0.17826322783162551
15,YEL002C,YKL008C,0.30008102723400093
16,YJL019W,YOL104C,0.30104966963023155
17,YML010W,YNL248C,0.08680727298776884
18,YML009C,YNL284C,0.8250012490404981
19,YDR167W,YDR392W,0.43860298070265197
20,YDL055C,YGL195W,0.11405283351030504
21,YHL047C,YHR079C,0.03947334447914741
22,YOR261C,YPR103W,0.1890705047606065
23,YDR212W,YLL019C,0.18498877438636213
24,YHR165C,YNR053C,0.06910286805830865
25,YMR240C,YOR308C,0.3354877326116473
26,YGL103W,YKL172W,0.1055024086973953
27,YBR245C,YPR110C,0.10310047108206598
28,YDL060W,YNL207W,0.1952710813972569
29,YHR203C,YNL132W,0.07116308779561029
30,YHR037W,YPL240C,0.0001
31,YDR477W,YOR027W,0.050605120074741765
32,YNL301C,YOR096W,0.5670115142818195
33,YCR021C,YJL151C,0.1582009781176219
34,YGL122C,YML081W,0.24503490436452985
35,YDR412W,YPR143W,0.4217096347895812
36,YIR010W,YJR009C,0.07463144823898532
37,YCR038C,YPR122W,0.18266314237096226
38,YKL113C,YOR144C,0.28498775321398545
39,YMR102C,YOR174W,0.0001
40,YLL039C,YLR113W,0.1691206830041488
41,YJR047C,YPL141C,0.05881907467096589
42,YMR004W,YPL031C,0.10840086162139151
43,YDR477W,YLR132C,0.15161536022422528
44,YGR033C,YNR017W,0.8451845187789695
45,YGR055W,YPL058C,0.3509023845621216
46,YDR164C,YLR166C,0.32740501554815626
47,YER174C,YOL016C,0.09544036928616308
48,YCL035C,YMR059W,0.10009367574466699
49,YDR128W,YMR106C,0.0001
50,YBL072C,YOR078W,0.30626655464593205
51,YBR160W,YJL076W,0.07463248544444004
52,YLR291C,YML099C,0.09138157118548114
