,protein1,protein2,weight
0,YAL011W,YDR334W,4.71954165
1,YMR263W,YNL097C,4.719084916
2,YDR334W,YDR485C,4.713090119
3,YDR334W,YML041C,4.683625087
4,YAL011W,YML041C,4.677284502
5,YDR485C,YML041C,4.676723102
6,YAL011W,YDR485C,4.67607651
7,YBR095C,YMR263W,4.666892764
8,YBR095C,YNL097C,4.655871203
9,YLR039C,YLR262C,4.630816471
10,YAL013W,YMR263W,4.628759327
11,YGL086W,YJL030W,4.604485527
12,YAL013W,YNL097C,4.602669102
13,YOR349W,YPL241C,4.60097572
14,YDL074C,YPL055C,4.600262388
15,YLR200W,YNL153C,4.577711763
16,YBR231C,YML041C,4.572928104
17,YBR231C,YDR334W,4.571158454
18,YNL330C,YOL004W,4.554672484
19,YBR231C,YDR485C,4.544637725
20,YDR485C,YLR085C,4.531022014
21,YDR334W,YLR085C,4.517880132
22,YDR392W,YLR055C,4.506517605
23,YAL011W,YBR231C,4.492873445
24,YAL013W,YBR095C,4.489719385
25,YLR085C,YML041C,4.474857901
26,YAL011W,YOL012C,4.470807607
27,YAL011W,YLR085C,4.468949278
28,YML041C,YOL012C,4.462066356
29,YBR103W,YKR029C,4.448407204
30,YAL013W,YIL084C,4.441302723
31,YDR485C,YOL012C,4.438378465
32,YEL003W,YJL179W,4.431497574
33,YEL003W,YLR200W,4.431011152
34,YNL097C,YOL004W,4.427240607
35,YDR318W,YPL018W,4.425278965
36,YDR334W,YOL012C,4.413323131
37,YDL013W,YER116C,4.405152175
38,YGL194C,YKR029C,4.401668787
39,YAL013W,YOL004W,4.399630921
40,YIL084C,YMR263W,4.395796773
41,YJR053W,YMR055C,4.389139054
42,YJR140C,YOR038C,4.387873073
43,YMR263W,YOL004W,4.383508877
44,YLR200W,YML094W,4.376601137
45,YBR231C,YLR085C,4.37304132
46,YBL008W,YBR215W,4.365608201
47,YMR075W,YPR023C,4.353204381
48,YBL008W,YJR140C,4.350498286
49,YAL013W,YNL330C,4.343246957
50,YIL084C,YNL097C,4.33690237
51,YER095W,YGL163C,4.332812391
52,YBR231C,YOL012C,4.327316478
53,YIL084C,YNL330C,4.325310305
54,YML124C,YOR349W,4.324418531
55,YBR103W,YGL194C,4.324362074
56,YEL003W,YNL153C,4.32410031
57,YBR095C,YIL084C,4.287359037
58,YGL244W,YPL055C,4.285686162
59,YBR095C,YOL004W,4.28462537
60,YBR215W,YJR140C,4.283432241
61,YNL097C,YNL330C,4.277675473
62,YDR254W,YDR318W,4.275796681
63,YLR418C,YOR123C,4.270892173
64,YNR010W,YPR070W,4.269338982
65,YDR137W,YLR262C,4.267470177
66,YDR137W,YLR039C,4.266001472
67,YLR085C,YOL012C,4.265309651
68,YMR263W,YNL330C,4.244732305
69,YFR010W,YKL213C,4.240409386
70,YML094W,YNL153C,4.238658576
71,YER151C,YNR051C,4.234011592
72,YDR254W,YPL018W,4.218966954
73,YMR312W,YPL086C,4.216481114
74,YDR150W,YDR488C,4.203542312
75,YCR033W,YKR029C,4.203107074
76,YGR078C,YNL153C,4.20260531
77,YDR150W,YKR054C,4.202456801
78,YDL074C,YGL244W,4.200433571
79,YEL003W,YML094W,4.195104794
80,YDR485C,YNL107W,4.188653907
81,YIL084C,YOL004W,4.18856311
82,YBR193C,YGR005C,4.186003513
83,YCL029C,YDR150W,4.184597856
84,YGL127C,YHR041C,4.181250153
85,YBR095C,YNL330C,4.178911424
86,YLR381W,YPL018W,4.175288873
87,YJL179W,YLR200W,4.174016118
88,YDL074C,YLR015W,4.163887638
89,YJR135C,YPL018W,4.159155391
90,YGR078C,YLR200W,4.158637319
91,YGR188C,YOR026W,4.148685456
92,YDR254W,YPR046W,4.148323451
93,YDR254W,YLR381W,4.147766727
94,YER171W,YGR005C,4.147489557
95,YDR076W,YML032C,4.145530973
96,YLR381W,YPR046W,4.135744989
97,YJL179W,YNL153C,4.129808712
98,YEL018W,YNL136W,4.127843966
99,YAL011W,YNL107W,4.124075863
100,YLR015W,YPL055C,4.124048805
101,YDR334W,YNL107W,4.11934672
102,YDR318W,YPR046W,4.110486251
103,YJR135C,YLR381W,4.108140694
104,YDR469W,YPL055C,4.107192636
105,YBR215W,YOR038C,4.105175265
106,YBL008W,YOR038C,4.095227077
107,YML041C,YNL107W,4.094868304
108,YNL107W,YOL012C,4.088304535
109,YDR143C,YGL222C,4.087802686
110,YML124C,YPL241C,4.085046401
111,YHR191C,YMR078C,4.07564875
112,YAR003W,YDR469W,4.069748193
113,YBR103W,YCR033W,4.064966348
114,YBR095C,YPL181W,4.062413698
115,YPL018W,YPR046W,4.059221457
116,YER007W,YPL241C,4.057364459
117,YBR107C,YLR381W,4.051418721
118,YDR254W,YJR135C,4.048287038
119,YBR030W,YBR048W,4.048254092
120,YGR200C,YPL086C,4.046437528
121,YBR098W,YDR386W,4.037286174
122,YJR135C,YPR046W,4.034082288
123,YDR488C,YOR269W,4.033602682
124,YDR076W,YER095W,4.032957346
125,YCR081W,YDR443C,4.017588538
126,YBR119W,YGL222C,4.016950546
127,YOR368W,YPL194W,4.016826286
128,YDR488C,YKR054C,4.013431473
129,YGR078C,YML094W,4.009943794
130,YEL003W,YGR078C,3.998229705
131,YMR190C,YPL024W,3.996544249
132,YIL076W,YML071C,3.994464677
133,YER007W,YOR349W,3.990830134
134,YJR104C,YMR038C,3.988242212
135,YBR231C,YNL107W,3.98337607
136,YGL086W,YPL241C,3.979560988
137,YJL179W,YML094W,3.979172214
138,YJL030W,YPL241C,3.976642217
139,YDL115C,YGL127C,3.972759577
140,YCL029C,YDR488C,3.950100588
141,YLR418C,YPL055C,3.949819529
142,YGR005C,YGR186W,3.946485282
143,YLR085C,YNL107W,3.943471467
144,YDR318W,YJR135C,3.937951314
145,YDR108W,YML071C,3.936125939
146,YDR318W,YGL086W,3.93518284
147,YAR003W,YBR175W,3.932734981
148,YDR217C,YOR368W,3.928134528
149,YDL115C,YPL055C,3.920775418
150,YDL074C,YDR469W,3.920325746
151,YHR167W,YML062C,3.919163868
152,YDR254W,YGL086W,3.917892809
153,YGL163C,YML032C,3.915676351
154,YDR318W,YLR381W,3.912155061
155,YBR107C,YDR318W,3.911965666
156,YMR127C,YOR213C,3.911466802
157,YDR181C,YOR213C,3.908868966
158,YEL061C,YER016W,3.904924564
159,YER171W,YIL021W,3.901608787
160,YBR095C,YPL139C,3.901017823
161,YNR010W,YOR308C,3.898808888
162,YLR234W,YPL024W,3.898766405
163,YCR033W,YGL194C,3.898673141
164,YCR065W,YML124C,3.897700893
165,YAR003W,YLR015W,3.892895372
166,YDR318W,YJL030W,3.892274028
167,YBR119W,YDR143C,3.88840271
168,YER111C,YGL025C,3.885025804
169,YJR043C,YKL113C,3.879290499
170,YAR003W,YPL055C,3.877338716
171,YER035W,YGL222C,3.875886111
172,YDR150W,YOR269W,3.875617418
173,YDR004W,YDR076W,3.875245266
174,YOR308C,YPL181W,3.873325689
175,YBR048W,YER144C,3.870226331
176,YGL086W,YJL013C,3.869271026
177,YGL112C,YMR236W,3.864606435
178,YJL030W,YOR349W,3.864178021
179,YBR107C,YDR254W,3.864040582
180,YGL086W,YPL018W,3.864021758
181,YDR254W,YJL030W,3.86059967
182,YBR107C,YPR046W,3.859230919
183,YML032C,YMR224C,3.857756605
184,YGL086W,YOR349W,3.855759549
185,YBR107C,YPL018W,3.852634662
186,YDR076W,YGL163C,3.851428121
187,YER095W,YML032C,3.850436548
188,YGL127C,YPL055C,3.848942398
189,YJR073C,YML071C,3.848927313
190,YBR107C,YJR135C,3.845576124
191,YJL047C,YPR164W,3.843872061
192,YMR048W,YNL273W,3.841156506
193,YDR369C,YML032C,3.839554269
194,YMR263W,YPL139C,3.839342124
195,YNL215W,YOR141C,3.835761443
196,YAR003W,YDL074C,3.83348453
197,YGR200C,YMR312W,3.828168317
198,YMR263W,YPL181W,3.826253532
199,YAR007C,YER104W,3.823345429
200,YGL127C,YGR005C,3.816966316
201,YJR053W,YOR269W,3.815241508
202,YLR320W,YPR164W,3.814728558
203,YDR176W,YIR005W,3.810496186
204,YDL115C,YGR005C,3.807093414
205,YDR289C,YLR268W,3.805274803
206,YJL013C,YOR269W,3.802726769
207,YNL097C,YPL139C,3.802625413
208,YDR159W,YOL072W,3.801488781
209,YGL020C,YLR268W,3.795824085
210,YJL047C,YLR320W,3.79042805
211,YDR254W,YPL241C,3.780407216
212,YDR443C,YPL042C,3.771139758
213,YER007W,YMR138W,3.77040242
214,YNL097C,YPL181W,3.767472952
215,YCR077C,YJL124C,3.767422031
216,YDR150W,YPL155C,3.763087962
217,YCL029C,YPL241C,3.760605098
218,YCL029C,YPL155C,3.759866578
219,YMR055C,YOR269W,3.757939568
220,YCL029C,YKR054C,3.754148552
221,YGR005C,YIL021W,3.753596341
222,YLR234W,YMR190C,3.746566553
223,YEL061C,YOR349W,3.743505673
224,YBR048W,YML111W,3.740847413
225,YBR030W,YER144C,3.738885052
226,YKR054C,YOR269W,3.73727097
227,YDR318W,YOR349W,3.736917328
228,YDR469W,YGL244W,3.734503403
229,YGR200C,YPL101W,3.733885054
230,YJL030W,YPL018W,3.73385657
231,YGR056W,YKR029C,3.733593168
232,YBR175W,YLR015W,3.732812734
233,YDR176W,YOR308C,3.732186303
234,YDL074C,YDL115C,3.732054946
235,YMR005W,YMR236W,3.730718475
236,YDR108W,YIL076W,3.730297862
237,YLR268W,YPL055C,3.728986849
238,YDR245W,YJL183W,3.727608367
239,YLR055C,YLR418C,3.727557155
240,YDR176W,YPL181W,3.727018525
241,YML032C,YNL250W,3.726295035
242,YGL112C,YMR005W,3.726257147
243,YDR369C,YMR224C,3.724213222
244,YEL061C,YPL241C,3.720699957
245,YDR469W,YLR015W,3.717991608
246,YPL086C,YPL101W,3.717018119
247,YCR077C,YDR378C,3.716380275
248,YCL029C,YJR126C,3.713429158
249,YGL086W,YGR188C,3.710356918
250,YPL018W,YPL241C,3.70929098
251,YDR318W,YPL241C,3.708590004
252,YDR369C,YNL250W,3.707427246
253,YLR288C,YOR368W,3.702613481
254,YGL127C,YLR055C,3.702055296
255,YLR055C,YLR268W,3.700488658
256,YGL086W,YPR046W,3.699860315
257,YIL076W,YJR073C,3.698167573
258,YER171W,YLR268W,3.696274905
259,YBR030W,YGR086C,3.695944587
260,YJL013C,YJL030W,3.695546621
261,YGR005C,YPL055C,3.69248519
262,YLR055C,YMR263W,3.690788367
263,YGL043W,YPR070W,3.686227475
264,YDR488C,YMR055C,3.685819091
265,YGL115W,YML071C,3.681839099
266,YER016W,YOR349W,3.681365519
267,YLR288C,YPL194W,3.681316939
268,YGL127C,YLR418C,3.679855046
269,YGL043W,YNR010W,3.679769981
270,YER016W,YPL241C,3.678194079
271,YMR263W,YPL055C,3.67572845
272,YAL013W,YPL139C,3.668911756
273,YMR312W,YPL101W,3.667823138
274,YER016W,YPR141C,3.663188066
275,YER171W,YLR005W,3.661303438
276,YGL086W,YJR053W,3.660433815
277,YDR289C,YGR005C,3.659099702
278,YER171W,YGL244W,3.658640049
279,YJL168C,YPR070W,3.656697635
280,YBR095C,YLR055C,3.65433891
281,YBR030W,YML111W,3.65116387
282,YGL025C,YHR041C,3.650751368
283,YGL127C,YLR268W,3.648005814
284,YER111C,YLR350W,3.645877937
285,YOR349W,YPL018W,3.645834835
286,YKR054C,YPL155C,3.644062115
287,YOR308C,YPR070W,3.641809261
288,YGL244W,YLR418C,3.641164401
289,YCL061C,YJR043C,3.641114652
290,YLR418C,YMR263W,3.639587058
291,YBR193C,YER171W,3.630586947
292,YGL127C,YMR263W,3.629795031
293,YDL002C,YER092W,3.629630922
294,YOR269W,YPL155C,3.627747009
295,YER083C,YGL020C,3.625807387
296,YCL016C,YHR191C,3.622760811
297,YBR193C,YMR263W,3.621659338
298,YDL115C,YGL244W,3.621131961
299,YER173W,YPL194W,3.620904804
300,YGL115W,YNL297C,3.620690359
301,YDR159W,YPL055C,3.620373797
302,YDR488C,YJR053W,3.619179378
303,YDR392W,YMR263W,3.616287341
304,YGL133W,YOR304W,3.615038778
305,YCL016C,YMR078C,3.614060662
306,YGL086W,YMR055C,3.613091073
307,YGR056W,YOR308C,3.611591759
308,YIR002C,YIR025W,3.611339411
309,YDR289C,YNL222W,3.608979944
310,YGL020C,YLR350W,3.60892615
311,YDL115C,YDR469W,3.608361111
312,YDL074C,YGR005C,3.607941471
313,YDR369C,YGL163C,3.606778123
314,YDR488C,YPL155C,3.606327793
315,YGL020C,YIL076W,3.604076285
316,YDR254W,YMR078C,3.604016195
317,YDR143C,YHR025W,3.603981615
318,YDL115C,YHR041C,3.602638784
319,YBR095C,YBR193C,3.602624655
320,YBL036C,YDR143C,3.599093626
321,YER144C,YML111W,3.598196195
322,YNL097C,YPL055C,3.596017334
323,YBL036C,YHR025W,3.5958
324,YCL029C,YOR269W,3.59496446
325,YLR005W,YMR005W,3.588079393
326,YDR289C,YLR055C,3.587656546
327,YDR289C,YER171W,3.586915508
328,YKL018W,YKL144C,3.58616521
329,YGR188C,YJL030W,3.586135342
330,YPL139C,YPL181W,3.584933247
331,YDR469W,YGL127C,3.584019547
332,YPL241C,YPL253C,3.582613425
333,YER007W,YGL086W,3.581822085
334,YDR108W,YJR073C,3.577915724
335,YCL029C,YOR349W,3.577167363
336,YGR005C,YLR268W,3.573280132
337,YER016W,YGL086W,3.573199653
338,YGL244W,YGR005C,3.572857725
339,YML071C,YNL297C,3.571292012
340,YDR477W,YGL115W,3.57090782
341,YGR056W,YLR418C,3.567848194
342,YDR181C,YMR127C,3.566517811
343,YBR103W,YGR056W,3.566220864
