,protein1,protein2,weight
0,YAL001C,YBR123C,0.983749
1,YAL001C,YDR362C,0.983363
2,YAL001C,YGR047C,0.952126
3,YAL001C,YOR110W,0.99
4,YAL001C,YPL007C,0.948626
5,YAL002W,YLR148W,0.896235
6,YAL002W,YLR396C,0.705619
7,YAL002W,YMR231W,0.893948
8,YAL002W,YPL045W,0.895229
9,YAL003W,YEL034W,0.569324
10,YAL003W,YGR285C,0.61369
11,YAL003W,YHR064C,0.564698
12,YAL003W,YKL081W,0.99
13,YAL003W,YLR249W,0.572091
14,YAL003W,YPL048W,0.98246
15,YAL007C,YAR002C-A,0.99
16,YAL007C,YGL200C,0.97873
17,YAL007C,YML012W,0.99
18,YAL011W,YBR231C,0.804967
19,YAL011W,YDR190C,0.790977
20,YAL011W,YDR334W,0.840367
21,YAL011W,YDR485C,0.815874
22,YAL011W,YJL081C,0.574536
23,YAL011W,YLR085C,0.587614
24,YAL011W,YNL107W,0.552371
25,YAL011W,YPL235W,0.884928
26,YAL013W,YBR095C,0.976732
27,YAL013W,YDL076C,0.536526
28,YAL013W,YIL084C,0.99
29,YAL013W,YMR263W,0.99
30,YAL013W,YNL097C,0.897865
31,YAL013W,YNL330C,0.933972
32,YAL013W,YOL004W,0.89774
33,YAL013W,YPL139C,0.988298
34,YAL013W,YPL181W,0.982081
35,YAL016W,YDL134C,0.99
36,YAL016W,YDL188C,0.99
37,YAL016W,YGL190C,0.99
38,YAL016W,YGR161C,0.514794
39,YAL016W,YML109W,0.99
40,YAL016W,YMR273C,0.99
41,YAL016W,YOR014W,0.913037
42,YAL021C,YCR093W,0.99
43,YAL021C,YGR134W,0.894815
44,YAL021C,YNL288W,0.925759
45,YAL021C,YNR052C,0.972347
46,YAL024C,YHR158C,0.96664
47,YAL026C,YLR447C,0.513756
48,YAL027W,YML095C,0.569177
49,YAL027W,YPL022W,0.897012
50,YAL029C,YBR109C,0.497327
51,YAL029C,YBR130C,0.920803
52,YAL029C,YFL039C,0.557806
53,YAL029C,YGL106W,0.953928
54,YAL029C,YHR023W,0.605775
55,YAL029C,YKL130C,0.977045
56,YAL029C,YOR326W,0.560318
57,YAL032C,YDL209C,0.890318
58,YAL032C,YDR364C,0.897012
59,YAL032C,YDR416W,0.950453
60,YAL032C,YER172C,0.581617
61,YAL032C,YGL128C,0.566898
62,YAL032C,YGR278W,0.682066
63,YAL032C,YHR165C,0.634788
64,YAL032C,YJR050W,0.57831
65,YAL032C,YKL173W,0.788313
66,YAL032C,YLL036C,0.99
67,YAL032C,YLR117C,0.99
68,YAL032C,YML049C,0.816232
69,YAL032C,YMR213W,0.760967
70,YAL032C,YMR288W,0.733132
71,YAL032C,YPL151C,0.975835
72,YAL032C,YPL213W,0.49484
73,YAL032C,YPR101W,0.884823
74,YAL033W,YBL018C,0.744429
75,YAL033W,YBR167C,0.60191
76,YAL033W,YBR257W,0.856787
77,YAL033W,YGR030C,0.626222
78,YAL033W,YHR062C,0.847419
79,YAL033W,YNL221C,0.897012
80,YAL033W,YNL282W,0.579689
81,YAL034C,YER110C,0.895352
82,YAL034W-A,YIR010W,0.918327
83,YAL034W-A,YJR112W,0.63397
84,YAL034W-A,YPL233W,0.897012
85,YAL035W,YBR031W,0.52523
86,YAL035W,YBR079C,0.885045
87,YAL035W,YDL014W,0.567935
88,YAL035W,YDL082W,0.566898
89,YAL035W,YDR091C,0.533257
90,YAL035W,YDR418W,0.606432
91,YAL035W,YDR429C,0.847419
92,YAL035W,YDR496C,0.522974
93,YAL035W,YER102W,0.736587
94,YAL035W,YFR031C-A,0.643273
95,YAL035W,YGL076C,0.532958
96,YAL035W,YIL018W,0.656985
97,YAL035W,YJL190C,0.574416
98,YAL035W,YJR123W,0.526291
99,YAL035W,YJR145C,0.753918
100,YAL035W,YLL045C,0.829892
101,YAL035W,YLR192C,0.632782
102,YAL035W,YMR146C,0.855603
103,YAL035W,YMR309C,0.99
104,YAL035W,YNL178W,0.509447
105,YAL035W,YOR063W,0.620073
106,YAL035W,YOR361C,0.907821
107,YAL035W,YPL198W,0.650743
