"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000000001","YAL001C","S. cerevisiae","TFC3","Transcription Factor class C"
"SGD:S000000002","YAL002W","S. cerevisiae","VPS8","Vacuolar Protein Sorting"
"SGD:S000000003","YAL003W","S. cerevisiae","EFB1","Elongation Factor Beta"
"SGD:S000000005","YAL007C","S. cerevisiae","ERP2","Emp24p/Erv25p Related Protein"
"SGD:S000000009","YAL011W","S. cerevisiae","SWC3","SWr Complex"
"SGD:S000000011","YAL013W","S. cerevisiae","DEP1","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis"
"SGD:S000000014","YAL016W","S. cerevisiae","TPD3","tRNA Processing Deficient"
"SGD:S000000019","YAL021C","S. cerevisiae","CCR4","Carbon Catabolite Repression"
"SGD:S000000022","YAL024C","S. cerevisiae","LTE1","Low Temperature Essential"
"SGD:S000000024","YAL026C","S. cerevisiae","DRS2","Deficiency of Ribosomal Subunits"
"SGD:S000000025","YAL027W","S. cerevisiae","SAW1","Single-strand Annealing Weakened"
"SGD:S000000027","YAL029C","S. cerevisiae","MYO4","MYOsin"
"SGD:S000000030","YAL032C","S. cerevisiae","PRP45","Pre-mRNA Processing"
"SGD:S000000031","YAL033W","S. cerevisiae","POP5","Processing Of Precursor RNAs"
"SGD:S000000032","YAL034W-A","S. cerevisiae","MTW1","Mis TWelve-like"
"SGD:S000000033","YAL035W","S. cerevisiae","FUN12","Function Unknown Now"
"SGD:S000000040","YAL042W","S. cerevisiae","ERV46","ER Vesicle"
"SGD:S000000041","YAL043C","S. cerevisiae","PTA1","Pre-Trna Accumulation"
"SGD:S000000045","YAL047C","S. cerevisiae","SPC72","Spindle Pole Component"
"SGD:S000000049","YAL053W","S. cerevisiae","FLC2","FLavin Carrier"
"SGD:S000000058","YAL062W","S. cerevisiae","GDH3","Glutamate DeHydrogenase"
"SGD:S000000063","YAR002W","S. cerevisiae","NUP60","NUclear Pore"
"SGD:S000000064","YAR003W","S. cerevisiae","SWD1","Set1c, WD40 repeat protein"
"SGD:S000000065","YAR007C","S. cerevisiae","RFA1","Replication Factor A"
"SGD:S000000069","YAR014C","S. cerevisiae","BUD14","BUD site selection"
"SGD:S000000095","YAR073W","S. cerevisiae","IMD1","IMP Dehydrogenase"
"SGD:S000000098","YBL002W","S. cerevisiae","HTB2","Histone h Two B"
"SGD:S000000099","YBL003C","S. cerevisiae","HTA2","Histone h Two A"
"SGD:S000000100","YBL004W","S. cerevisiae","UTP20","U Three Protein"
"SGD:S000000103","YBL007C","S. cerevisiae","SLA1","Synthetic Lethal with ABP1"
"SGD:S000000104","YBL008W","S. cerevisiae","HIR1","HIstone Regulation"
"SGD:S000000110","YBL014C","S. cerevisiae","RRN6","Regulation of RNA polymerase I"
"SGD:S000000114","YBL018C","S. cerevisiae","POP8","Processing Of Precursor RNAs"
"SGD:S000000117","YBL021C","S. cerevisiae","HAP3","Heme Activator Protein"
"SGD:S000000122","YBL026W","S. cerevisiae","LSM2","Like SM"
"SGD:S000000123","YBL027W","S. cerevisiae","RPL19B","Ribosomal Protein of the Large subunit"
"SGD:S000000131","YBL035C","S. cerevisiae","POL12","POLymerase"
"SGD:S000000133","YBL037W","S. cerevisiae","APL3","clathrin Adaptor Protein complex Large chain"
"SGD:S000000134","YBL038W","S. cerevisiae","MRPL16","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000000137","YBL041W","S. cerevisiae","PRE7","PRoteinase yscE"
"SGD:S000000141","YBL045C","S. cerevisiae","COR1","CORe protein of QH2 cytochrome c reductase"
"SGD:S000000142","YBL046W","S. cerevisiae","PSY4","Platinum SensitivitY"
"SGD:S000000143","YBL047C","S. cerevisiae","EDE1","EH Domains and Endocytosis"
"SGD:S000000148","YBL052C","S. cerevisiae","SAS3","Something About Silencing"
"SGD:S000000152","YBL056W","S. cerevisiae","PTC3","Phosphatase Two C"
"SGD:S000000154","YBL058W","S. cerevisiae","SHP1","Suppressor of High-copy PP1"
"SGD:S000000163","YBL067C","S. cerevisiae","UBP13","UBiquitin-specific Protease"
"SGD:S000000168","YBL072C","S. cerevisiae","RPS8A","Ribosomal Protein of the Small subunit"
"SGD:S000000170","YBL074C","S. cerevisiae","AAR2","A1-Alpha2 Repression"
"SGD:S000000175","YBL079W","S. cerevisiae","NUP170","NUclear Pore"
"SGD:S000000180","YBL084C","S. cerevisiae","CDC27","Cell Division Cycle"
"SGD:S000000183","YBL087C","S. cerevisiae","RPL23A","Ribosomal Protein of the Large subunit"
"SGD:S000000186","YBL090W","S. cerevisiae","MRP21","Mitochondrial Ribosomal Protein"
"SGD:S000000188","YBL092W","S. cerevisiae","RPL32","Ribosomal Protein of the Large subunit"
"SGD:S000000189","YBL093C","S. cerevisiae","ROX3","Regulation by OXygen"
"SGD:S000000193","YBL097W","S. cerevisiae","BRN1","homolog of BaRreN"
"SGD:S000000195","YBL099W","S. cerevisiae","ATP1","ATP synthase"
"SGD:S000000199","YBL103C","S. cerevisiae","RTG3","ReTroGrade regulation"
"SGD:S000000201","YBL105C","S. cerevisiae","PKC1","Protein Kinase C"
"SGD:S000000213","YBR009C","S. cerevisiae","HHF1","Histone H Four"
"SGD:S000000214","YBR010W","S. cerevisiae","HHT1","Histone H Three"
"SGD:S000000215","YBR011C","S. cerevisiae","IPP1","Inorganic PyroPhosphatase"
"SGD:S000000221","YBR017C","S. cerevisiae","KAP104","KAryoPherin"
"SGD:S000000229","YBR025C","S. cerevisiae","OLA1","Obg-Like ATPase"
"SGD:S000000235","YBR031W","S. cerevisiae","RPL4A","Ribosomal Protein of the Large subunit"
"SGD:S000000252","YBR048W","S. cerevisiae","RPS11B","Ribosomal Protein of the Small subunit"
"SGD:S000000256","YBR052C","S. cerevisiae","RFS1","Rad55 (Fifty-five) Suppressor"
"SGD:S000000259","YBR055C","S. cerevisiae","PRP6","Pre-mRNA Processing"
"SGD:S000000264","YBR060C","S. cerevisiae","ORC2","Origin Recognition Complex"
"SGD:S000000265","YBR061C","S. cerevisiae","TRM7","Transfer RNA Methyltransferase"
"SGD:S000000269","YBR065C","S. cerevisiae","ECM2","ExtraCellular Mutant"
"SGD:S000000276","YBR072W","S. cerevisiae","HSP26","Heat Shock Protein"
"SGD:S000000283","YBR079C","S. cerevisiae","RPG1",""
"SGD:S000000285","YBR081C","S. cerevisiae","SPT7","SuPpressor of Ty's"
"SGD:S000000288","YBR084W","S. cerevisiae","MIS1","MItochondrial C1-tetrahydrofolate Synthase"
"SGD:S000000291","YBR087W","S. cerevisiae","RFC5","Replication Factor C"
"SGD:S000000298","YBR094W","S. cerevisiae","PBY1","P-BodY associated protein"
"SGD:S000000299","YBR095C","S. cerevisiae","RXT2",""
"SGD:S000000301","YBR097W","S. cerevisiae","VPS15","Vacuolar Protein Sorting"
"SGD:S000000306","YBR102C","S. cerevisiae","EXO84","EXOcyst"
"SGD:S000000307","YBR103W","S. cerevisiae","SIF2","Sir4p-Interacting Factor"
"SGD:S000000309","YBR105C","S. cerevisiae","VID24","Vacuolar Import and Degradation"
"SGD:S000000311","YBR107C","S. cerevisiae","IML3","Increased Minichromosome Loss"
"SGD:S000000313","YBR109C","S. cerevisiae","CMD1","CalMoDulin"
"SGD:S000000321","YBR117C","S. cerevisiae","TKL2","TransKetoLase"
"SGD:S000000322","YBR118W","S. cerevisiae","TEF2","Translation Elongation Factor"
"SGD:S000000323","YBR119W","S. cerevisiae","MUD1","Mutant U1 Die"
"SGD:S000000326","YBR122C","S. cerevisiae","MRPL36","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000000327","YBR123C","S. cerevisiae","TFC1","Transcription Factor class C"
"SGD:S000000329","YBR125C","S. cerevisiae","PTC4","Phosphatase Two C"
"SGD:S000000330","YBR126C","S. cerevisiae","TPS1","Trehalose-6-Phosphate Synthase"
"SGD:S000000331","YBR127C","S. cerevisiae","VMA2","Vacuolar Membrane Atpase"
"SGD:S000000332","YBR128C","S. cerevisiae","ATG14","AuTophaGy related"
"SGD:S000000334","YBR130C","S. cerevisiae","SHE3","Swi5p-dependent HO Expression"
"SGD:S000000339","YBR135W","S. cerevisiae","CKS1","Cdc28 Kinase Subunit"
"SGD:S000000340","YBR136W","S. cerevisiae","MEC1","Mitosis Entry Checkpoint"
"SGD:S000000341","YBR137W","S. cerevisiae","",""
"SGD:S000000346","YBR142W","S. cerevisiae","MAK5","MAintenance of Killer"
"SGD:S000000347","YBR143C","S. cerevisiae","SUP45","SUPpressor"
"SGD:S000000350","YBR146W","S. cerevisiae","MRPS9","Mitochondrial Ribosomal Protein, Small subunit"
"SGD:S000000356","YBR152W","S. cerevisiae","SPP381","Suppressor of PrP38-1"
"SGD:S000000358","YBR154C","S. cerevisiae","RPB5","RNA Polymerase B"
"SGD:S000000364","YBR160W","S. cerevisiae","CDC28","Cell Division Cycle"
"SGD:S000000371","YBR167C","S. cerevisiae","POP7","Processing Of Precursor RNAs"
"SGD:S000000373","YBR169C","S. cerevisiae","SSE2","Stress Seventy subfamily E"
"SGD:S000000374","YBR170C","S. cerevisiae","NPL4","Nuclear Protein Localization"
"SGD:S000000375","YBR171W","S. cerevisiae","SEC66","SECretory"
"SGD:S000000379","YBR175W","S. cerevisiae","SWD3","Set1c, WD40 repeat protein"
"SGD:S000000385","YBR181C","S. cerevisiae","RPS6B","Ribosomal Protein of the Small subunit"
"SGD:S000000393","YBR189W","S. cerevisiae","RPS9B","Ribosomal Protein of the Small subunit"
"SGD:S000000395","YBR191W","S. cerevisiae","RPL21A","Ribosomal Protein of the Large subunit"
"SGD:S000000397","YBR193C","S. cerevisiae","MED8","MEDiator complex"
"SGD:S000000399","YBR195C","S. cerevisiae","MSI1","Multicopy Suppressor of IRA1"
"SGD:S000000400","YBR196C","S. cerevisiae","PGI1","PhosphoGlucoIsomerase"
"SGD:S000000402","YBR198C","S. cerevisiae","TAF5","TATA binding protein-Associated Factor"
"SGD:S000000415","YBR211C","S. cerevisiae","AME1","Associated with Microtubules and Essential"
"SGD:S000000419","YBR215W","S. cerevisiae","HPC2","Histone Periodic Control"
"SGD:S000000425","YBR221C","S. cerevisiae","PDB1","Pyruvate Dehydrogenase Beta subunit"
"SGD:S000000429","YBR225W","S. cerevisiae","",""
"SGD:S000000433","YBR229C","S. cerevisiae","ROT2","Reversal Of Tor2 lethality"
