,protein1,protein2,weight
0,YKL144C,YPR110C,0.397689
1,YKL144C,YOR210W,0.253468
2,YKL144C,YPR190C,0.696757
3,YKL144C,YOR224C,0.42441
4,YKL144C,YDR045C,0.271547
5,YKL144C,YNL151C,0.263259
6,YKL144C,YNL113W,0.258469
7,YKL144C,YKR025W,0.497577
8,YKL144C,YOR116C,0.637561
9,YKL144C,YPR187W,0.450567
10,YKL144C,YBR154C,0.413701
11,YKL144C,YDR005C,0.240036
12,YKL144C,YJL011C,0.261403
13,YKL144C,YNR003C,0.693621
14,YKL144C,YDL150W,0.727055
15,YKL144C,YOR207C,0.681192
16,YPR110C,YBR245C,0.261184
17,YPR110C,YOR210W,0.393896
18,YPR110C,YPR190C,0.582791
19,YPR110C,YOR224C,0.368677
20,YPR110C,YNL151C,0.431135
21,YPR110C,YBR049C,0.319167
22,YPR110C,YPR010C,0.471473
23,YPR110C,YKR025W,0.420275
24,YPR110C,YOR116C,0.520458
25,YPR110C,YGL156W,0.280843
26,YPR110C,YPR032W,0.280843
27,YPR110C,YPR187W,0.357968
28,YPR110C,YBR154C,0.362757
29,YPR110C,YJR063W,0.629064
30,YPR110C,YOR340C,0.430481
31,YPR110C,YDR005C,0.387544
32,YPR110C,YNL248C,0.631522
33,YPR110C,YNR003C,0.56951
34,YPR110C,YOR341W,0.55542
35,YPR110C,YDL150W,0.589866
36,YPR110C,YOR207C,0.551011
37,YML016C,YPR184W,0.271547
38,YML016C,YKL193C,0.341931
39,YML016C,YKL088W,0.646997
40,YML016C,YJL039C,0.253114
41,YML016C,YJR077C,0.281843
42,YML016C,YBL075C,0.240036
43,YPR184W,YJL039C,0.271547
44,YPR184W,YJR077C,0.300276
45,YPR184W,YBR072W,0.297342
46,YDR240C,YGR013W,0.57632
47,YDR240C,YLR275W,0.363271
48,YDR240C,YER029C,0.354763
49,YDR240C,YGR074W,0.611393
50,YDR240C,YMR125W,0.353621
51,YDR240C,YDL087C,0.594499
52,YDR240C,YPL178W,0.395647
53,YDR240C,YHR165C,0.278849
54,YDR240C,YPR182W,0.236397
55,YDR240C,YBR119W,0.448079
56,YDR240C,YML046W,0.412483
57,YDR240C,YHR086W,0.607832
58,YDR240C,YDR235W,0.419834
59,YDR240C,YLR147C,0.371543
60,YDR240C,YLR298C,0.427455
61,YDR240C,YKL012W,0.408726
62,YDR240C,YLR345W,0.273554
63,YDR240C,YIL061C,0.646097
64,YDR240C,YIL129C,0.242043
65,YGR013W,YLR275W,0.326992
66,YGR013W,YER172C,0.264055
67,YGR013W,YER029C,0.460879
68,YGR013W,YGR074W,0.341286
69,YGR013W,YMR125W,0.486217
70,YGR013W,YDL087C,0.554072
71,YGR013W,YPL178W,0.555105
72,YGR013W,YPR182W,0.384788
