,protein1,protein2,weight
0,YAL001C,YBR123C,0.99
1,YAL001C,YDR362C,0.99
2,YAL001C,YDR381W,0.3
3,YAL001C,YGR047C,0.99
4,YAL001C,YOR110W,0.99
5,YAL007C,YAR002C-A,0.73
6,YAL007C,YBL003C,0.58
7,YAL007C,YBR009C,0.72
8,YAL007C,YDR086C,0.32
9,YAL007C,YDR174W,0.72
10,YAL007C,YDR381W,0.51
11,YAL007C,YGL008C,0.83
12,YAL007C,YGL055W,0.8
13,YAL007C,YGL200C,0.77
14,YAL007C,YGR231C,0.32
15,YAL007C,YJL034W,0.83
16,YAL007C,YLR075W,0.53
17,YAL007C,YLR150W,0.33
18,YAL007C,YLR342W,0.33
19,YAL007C,YML012W,0.93
20,YAL007C,YMR214W,0.74
21,YAL007C,YNL055C,0.33
22,YAL011W,YBL003C,0.63
23,YAL011W,YDR190C,0.99
24,YAL011W,YDR334W,0.99
25,YAL011W,YDR485C,0.99
26,YAL011W,YJL081C,0.99
27,YAL011W,YLR085C,0.99
28,YAL011W,YML041C,0.99
29,YAL011W,YPL235W,0.99
30,YAL016W,YDL134C,0.99
31,YAL016W,YDL188C,0.99
32,YAL016W,YGL190C,0.99
33,YAL016W,YGR161C,0.55
34,YAL016W,YML109W,0.78
35,YAL016W,YMR273C,0.93
36,YAL016W,YNL209W,0.58
37,YAL016W,YOR014W,0.7
38,YAL016W,YPL152W,0.36
39,YAL017W,YLR150W,0.4
40,YAL019W,YAL026C,0.64
41,YAL019W,YIL035C,0.99
42,YAL021C,YCR093W,0.99
43,YAL021C,YDR252W,0.73
44,YAL021C,YNR052C,0.6
45,YAL024C,YNL312W,0.83
46,YAL026C,YML069W,0.38
47,YAL027W,YCR009C,0.63
48,YAL027W,YCR028C-A,0.34
49,YAL027W,YDL014W,0.81
50,YAL027W,YDR381W,0.72
51,YAL027W,YDR388W,0.72
52,YAL027W,YGL106W,0.6
53,YAL027W,YIL095W,0.5
54,YAL027W,YIL105C,0.34
55,YAL027W,YLL018C,0.51
56,YAL027W,YLR429W,0.99
57,YAL027W,YML095C,0.95
58,YAL027W,YNL106C,0.47
59,YAL027W,YOR294W,0.72
60,YAL027W,YPL004C,0.63
61,YAL027W,YPL022W,0.95
62,YAL027W,YPL146C,0.6
63,YAL027W,YPR171W,0.6
64,YAL033W,YBR257W,0.3
65,YAL033W,YHR062C,0.98
66,YAL033W,YNL221C,0.53
67,YAL034C,YER110C,0.99
68,YAL034W-A,YIR010W,0.99
69,YAL034W-A,YPL233W,0.97
70,YAL043C,YAL046C,0.54
71,YAL043C,YBL076C,0.82
72,YAL043C,YBL101C,0.42
73,YAL043C,YBR119W,0.33
74,YAL043C,YDL199C,0.54
75,YAL043C,YDR195W,0.99
76,YAL043C,YGR156W,0.94
77,YAL043C,YJR093C,0.96
78,YAL043C,YKL059C,0.99
79,YAL043C,YLR115W,0.97
80,YAL043C,YLR277C,0.99
81,YAL043C,YLR303W,0.54
82,YAL051W,YCR087C-A,0.31
83,YAL051W,YDR060W,0.32
84,YAL051W,YDR412W,0.65
85,YAL051W,YIL036W,0.34
86,YAL051W,YKL172W,0.34
87,YAL051W,YLR197W,0.34
88,YAL051W,YOR310C,0.34
89,YAL051W,YPL146C,0.43
90,YAL051W,YPR169W,0.34
91,YAL059W,YMR124W,0.3
92,YAL061W,YAL060W,0.99
93,YAR002W,YLR335W,0.99
94,YAR002W,YLR347C,0.99
95,YAR002W,YNL189W,0.99
96,YAR003W,YBR175W,0.99
97,YAR003W,YDR469W,0.73
98,YAR003W,YLR015W,0.99
99,YAR003W,YPL138C,0.89
100,YAR007C,YBL002W,0.93
101,YAR007C,YDL140C,0.51
102,YAR007C,YDR129C,0.5
103,YAR007C,YDR174W,0.57
104,YAR007C,YEL030W,0.34
105,YAR007C,YFL014W,0.28
106,YAR007C,YHR164C,0.97
107,YAR007C,YJL173C,0.99
108,YAR007C,YLR429W,0.56
109,YAR007C,YNL312W,0.99
110,YAR044W,YAR042W,0.99
111,YAR071W,YAL062W,0.33
112,YAR071W,YBR093C,0.53
113,YAR071W,YCR038C,0.33
114,YAR071W,YFR055W,0.53
115,YAR071W,YGL245W,0.33
116,YAR073W,YCR053W,0.77
117,YAR073W,YHR197W,0.37
118,YAR073W,YHR216W,0.84
119,YAR073W,YLR432W,0.98
120,YAR073W,YML056C,0.98
121,YBL002W,YBL003C,0.94
122,YBL002W,YBR009C,0.94
123,YBL002W,YGL207W,0.99
124,YBL002W,YGL241W,0.99
125,YBL002W,YKR048C,0.99
126,YBL002W,YML069W,0.99
127,YBL002W,YMR072W,0.54
128,YBL002W,YOL012C,0.99
129,YBL002W,YOL054W,0.92
130,YBL003C,YBL046W,0.77
131,YBL003C,YBR009C,0.94
132,YBL003C,YBR010W,0.96
133,YBL003C,YCR028C-A,0.37
134,YBL003C,YDR174W,0.94
135,YBL003C,YGL207W,0.99
136,YBL003C,YGL241W,0.94
137,YBL003C,YHL024W,0.29
138,YBL003C,YIL035C,0.71
139,YBL003C,YIL148W,0.58
140,YBL003C,YIL173W,0.29
141,YBL003C,YJL034W,0.61
142,YBL003C,YKR048C,0.99
143,YBL003C,YML069W,0.99
144,YBL003C,YML103C,0.54
145,YBL003C,YMR044W,0.32
146,YBL003C,YMR072W,0.99
147,YBL003C,YNL201C,0.93
148,YBL003C,YOR058C,0.49
149,YBL003C,YOR061W,0.78
150,YBL008W,YBR215W,0.82
151,YBL016W,YBR072W,0.3
152,YBL016W,YDR171W,0.29
153,YBL016W,YLR259C,0.3
154,YBL016W,YNL246W,0.3
155,YBL019W,YCR028C-A,0.39
156,YBL021C,YOR358W,0.99
157,YBL024W,YDL014W,0.98
158,YBL024W,YDR381W,0.29
159,YBL024W,YIL070C,0.99
160,YBL024W,YLR150W,0.29
161,YBL026W,YJR022W,0.67
162,YBL026W,YMR268C,0.99
163,YBL032W,YGL105W,0.99
164,YBL032W,YGL245W,0.48
165,YBL035C,YNL102W,0.99
166,YBL036C,YLR150W,0.33
167,YBL037W,YNL265C,0.29
168,YBL037W,YOL062C,0.4
169,YBL038W,YGR093W,0.39
170,YBL038W,YJL200C,0.29
171,YBL038W,YKR006C,0.39
172,YBL038W,YLR399C,0.29
173,YBL039C,YGL022W,0.83
174,YBL041W,YFR050C,0.84
175,YBL041W,YGL011C,0.97
176,YBL041W,YGR135W,0.97
177,YBL041W,YGR253C,0.97
178,YBL041W,YJL001W,0.63
179,YBL041W,YML092C,0.98
180,YBL041W,YMR314W,0.39
181,YBL041W,YOL038W,0.98
182,YBL041W,YOR362C,0.97
183,YBL041W,YPR103W,0.94
184,YBL045C,YPR191W,0.99
185,YBL046W,YDR075W,0.99
186,YBL046W,YDR293C,0.89
187,YBL046W,YML010W,0.99
