,protein1,protein2,weight
0,YAL001C,YBL058W,0.12
1,YAL001C,YBR123C,0.99
2,YAL001C,YDL014W,0.1
3,YAL001C,YDR155C,0.12
4,YAL001C,YDR362C,0.99
5,YAL001C,YDR381W,0.3
6,YAL001C,YEL026W,0.17
7,YAL001C,YGR047C,0.99
8,YAL001C,YML104C,0.15
9,YAL001C,YOR110W,0.99
10,YAL001C,YPL007C,0.15
11,YAL007C,YAR002C-A,0.73
12,YAL007C,YBL002W,0.25
13,YAL007C,YBL003C,0.58
14,YAL007C,YBL075C,0.25
15,YAL007C,YBR009C,0.72
16,YAL007C,YBR010W,0.25
17,YAL007C,YDR086C,0.32
18,YAL007C,YDR174W,0.72
19,YAL007C,YDR381W,0.51
20,YAL007C,YDR519W,0.26
21,YAL007C,YGL008C,0.83
22,YAL007C,YGL049C,0.24
23,YAL007C,YGL055W,0.8
24,YAL007C,YGL200C,0.77
25,YAL007C,YGR231C,0.32
26,YAL007C,YIL035C,0.25
27,YAL007C,YJL034W,0.83
28,YAL007C,YKR072C,0.23
29,YAL007C,YLR075W,0.53
30,YAL007C,YLR150W,0.33
31,YAL007C,YLR342W,0.33
32,YAL007C,YML012W,0.93
33,YAL007C,YMR072W,0.25
34,YAL007C,YMR214W,0.74
35,YAL007C,YNL055C,0.33
36,YAL007C,YNL121C,0.25
37,YAL007C,YOL012C,0.24
38,YAL007C,YOR058C,0.23
39,YAL007C,YPL128C,0.25
40,YAL007C,YPL146C,0.26
41,YAL011W,YBL003C,0.63
42,YAL011W,YBR010W,0.15
43,YAL011W,YDR174W,0.15
44,YAL011W,YDR190C,0.99
45,YAL011W,YDR227W,0.19
46,YAL011W,YDR334W,0.99
47,YAL011W,YDR485C,0.99
48,YAL011W,YJL081C,0.99
49,YAL011W,YLR085C,0.99
50,YAL011W,YML041C,0.99
51,YAL011W,YOL012C,0.15
52,YAL011W,YPL216W,0.19
53,YAL011W,YPL235W,0.99
54,YAL016W,YBR023C,0.15
55,YAL016W,YBR185C,0.17
56,YAL016W,YDL080C,0.16
57,YAL016W,YDL134C,0.99
58,YAL016W,YDL156W,0.16
59,YAL016W,YDL188C,0.99
60,YAL016W,YGL190C,0.99
61,YAL016W,YGR161C,0.55
62,YAL016W,YHR132W-A,0.17
63,YAL016W,YIL130W,0.11
64,YAL016W,YML109W,0.78
65,YAL016W,YMR273C,0.93
66,YAL016W,YNL209W,0.58
67,YAL016W,YOR014W,0.7
68,YAL016W,YPL152W,0.36
69,YAL017W,YLR150W,0.4
70,YAL019W,YAL026C,0.64
71,YAL019W,YDR381W,0.15
72,YAL019W,YIL035C,0.99
73,YAL019W,YKR071C,0.19
74,YAL019W,YML104C,0.15
75,YAL019W,YOR061W,0.12
76,YAL019W,YPL224C,0.15
77,YAL021C,YAR010C,0.16
78,YAL021C,YBL003C,0.12
79,YAL021C,YBR010W,0.12
80,YAL021C,YBR299W,0.15
81,YAL021C,YCR093W,0.99
