"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000000001","YAL001C","S. cerevisiae","TFC3","Transcription Factor class C"
"SGD:S000000005","YAL007C","S. cerevisiae","ERP2","Emp24p/Erv25p Related Protein"
"SGD:S000000006","YAL008W","S. cerevisiae","FUN14","Function Unknown Now"
"SGD:S000000008","YAL010C","S. cerevisiae","MDM10","Mitochondrial Distribution and Morphology"
"SGD:S000000009","YAL011W","S. cerevisiae","SWC3","SWr Complex"
"SGD:S000000010","YAL012W","S. cerevisiae","CYS3","CYStathionine gamma-lyase"
"SGD:S000000011","YAL013W","S. cerevisiae","DEP1","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis"
"SGD:S000000013","YAL015C","S. cerevisiae","NTG1","eNdonuclease Three-like Glycosylase"
"SGD:S000000014","YAL016W","S. cerevisiae","TPD3","tRNA Processing Deficient"
"SGD:S000000015","YAL017W","S. cerevisiae","PSK1","Pas domain-containing Serine/threonine protein Kinase"
"SGD:S000000016","YAL018C","S. cerevisiae","LDS1","Lipid Droplets in Sporulation"
"SGD:S000000017","YAL019W","S. cerevisiae","FUN30","Function Unknown Now"
"SGD:S000000018","YAL020C","S. cerevisiae","ATS1","Alpha Tubulin Suppressor"
"SGD:S000000019","YAL021C","S. cerevisiae","CCR4","Carbon Catabolite Repression"
"SGD:S000000020","YAL022C","S. cerevisiae","FUN26","Function Unknown Now"
"SGD:S000000021","YAL023C","S. cerevisiae","PMT2","Protein O-MannosylTransferase"
"SGD:S000000022","YAL024C","S. cerevisiae","LTE1","Low Temperature Essential"
"SGD:S000000024","YAL026C","S. cerevisiae","DRS2","Deficiency of Ribosomal Subunits"
"SGD:S000000025","YAL027W","S. cerevisiae","SAW1","Single-strand Annealing Weakened"
"SGD:S000000026","YAL028W","S. cerevisiae","FRT2","Functionally Related to TCP1"
"SGD:S000000027","YAL029C","S. cerevisiae","MYO4","MYOsin"
"SGD:S000000029","YAL031C","S. cerevisiae","GIP4","Glc7 Interacting Protein"
"SGD:S000000030","YAL032C","S. cerevisiae","PRP45","Pre-mRNA Processing"
"SGD:S000000031","YAL033W","S. cerevisiae","POP5","Processing Of Precursor RNAs"
"SGD:S000000032","YAL034W-A","S. cerevisiae","MTW1","Mis TWelve-like"
"SGD:S000000034","YAL036C","S. cerevisiae","RBG1","RiBosome interacting Gtpase"
"SGD:S000000037","YAL039C","S. cerevisiae","CYC3","CYtochrome C"
"SGD:S000000039","YAL041W","S. cerevisiae","CDC24","Cell Division Cycle"
"SGD:S000000040","YAL042W","S. cerevisiae","ERV46","ER Vesicle"
"SGD:S000000041","YAL043C","S. cerevisiae","PTA1","Pre-Trna Accumulation"
"SGD:S000000042","YAL044C","S. cerevisiae","GCV3","GlyCine cleaVage"
"SGD:S000000044","YAL046C","S. cerevisiae","BOL3","BolA-like protein"
"SGD:S000000045","YAL047C","S. cerevisiae","SPC72","Spindle Pole Component"
"SGD:S000000046","YAL048C","S. cerevisiae","GEM1","GTPase EF-hand protein of Mitochondria"
"SGD:S000000048","YAL051W","S. cerevisiae","OAF1","Oleate-Activated transcription Factor"
"SGD:S000000049","YAL053W","S. cerevisiae","FLC2","FLavin Carrier"
"SGD:S000000050","YAL054C","S. cerevisiae","ACS1","Acetyl CoA Synthetase"
"SGD:S000000055","YAL059W","S. cerevisiae","ECM1","ExtraCellular Mutant"
"SGD:S000000056","YAL060W","S. cerevisiae","BDH1","Butanediol DeHydrogenase"
"SGD:S000000057","YAL061W","S. cerevisiae","BDH2",""
"SGD:S000000058","YAL062W","S. cerevisiae","GDH3","Glutamate DeHydrogenase"
"SGD:S000000059","YAL063C","S. cerevisiae","FLO9","FLOcculation"
"SGD:S000000062","YAL067C","S. cerevisiae","SEO1","Suppressor of sulfoxyde EthiOnine resistance"
"SGD:S000000063","YAR002W","S. cerevisiae","NUP60","NUclear Pore"
"SGD:S000000064","YAR003W","S. cerevisiae","SWD1","Set1c, WD40 repeat protein"
"SGD:S000000065","YAR007C","S. cerevisiae","RFA1","Replication Factor A"
"SGD:S000000068","YAR010C","S. cerevisiae","",""
"SGD:S000000069","YAR014C","S. cerevisiae","BUD14","BUD site selection"
"SGD:S000000070","YAR015W","S. cerevisiae","ADE1","ADEnine requiring"
"SGD:S000000072","YAR019C","S. cerevisiae","CDC15","Cell Division Cycle"
"SGD:S000000080","YAR035W","S. cerevisiae","YAT1",""
"SGD:S000000081","YAR042W","S. cerevisiae","SWH1",""
"SGD:S000000082","YAR044W","S. cerevisiae","",""
"SGD:S000000085","YAR053W","S. cerevisiae","",""
"SGD:S000000086","YAR060C","S. cerevisiae","",""
"SGD:S000000088","YAR062W","S. cerevisiae","",""
"SGD:S000000093","YAR070C","S. cerevisiae","",""
"SGD:S000000094","YAR071W","S. cerevisiae","PHO11","PHOsphate metabolism"
"SGD:S000000095","YAR073W","S. cerevisiae","IMD1","IMP Dehydrogenase"
"SGD:S000000098","YBL002W","S. cerevisiae","HTB2","Histone h Two B"
"SGD:S000000099","YBL003C","S. cerevisiae","HTA2","Histone h Two A"
"SGD:S000000100","YBL004W","S. cerevisiae","UTP20","U Three Protein"
"SGD:S000000101","YBL005W","S. cerevisiae","PDR3","Pleiotropic Drug Resistance"
"SGD:S000000102","YBL006C","S. cerevisiae","LDB7","Low Dye Binding"
"SGD:S000000103","YBL007C","S. cerevisiae","SLA1","Synthetic Lethal with ABP1"
"SGD:S000000104","YBL008W","S. cerevisiae","HIR1","HIstone Regulation"
"SGD:S000000105","YBL009W","S. cerevisiae","ALK2",""
"SGD:S000000106","YBL010C","S. cerevisiae","LAA2","Large Adaptin Accessory"
"SGD:S000000109","YBL013W","S. cerevisiae","FMT1","Formyl-Methionyl-tRNA Transformylase"
